center,left,right,steering,throttle,brake,speed
C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\center_2019_11_28_22_16_59_409.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\left_2019_11_28_22_16_59_409.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\right_2019_11_28_22_16_59_409.jpg,0,1,0,8.381019
C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\center_2019_11_28_22_16_59_476.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\left_2019_11_28_22_16_59_476.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\right_2019_11_28_22_16_59_476.jpg,0,1,0,9.056237
C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\center_2019_11_28_22_16_59_550.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\left_2019_11_28_22_16_59_550.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\right_2019_11_28_22_16_59_550.jpg,0,1,0,9.95051
C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\center_2019_11_28_22_16_59_619.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\left_2019_11_28_22_16_59_619.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\right_2019_11_28_22_16_59_619.jpg,0,1,0,10.61657
C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\center_2019_11_28_22_16_59_695.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\left_2019_11_28_22_16_59_695.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\right_2019_11_28_22_16_59_695.jpg,0,1,0,11.597
C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\center_2019_11_28_22_16_59_765.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\left_2019_11_28_22_16_59_765.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\right_2019_11_28_22_16_59_765.jpg,0,1,0,12.41154
C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\center_2019_11_28_22_16_59_836.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\left_2019_11_28_22_16_59_836.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\right_2019_11_28_22_16_59_836.jpg,0,1,0,13.05237
C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\center_2019_11_28_22_16_59_906.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\left_2019_11_28_22_16_59_906.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\right_2019_11_28_22_16_59_906.jpg,0,1,0,13.79658
C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\center_2019_11_28_22_16_59_976.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\left_2019_11_28_22_16_59_976.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\right_2019_11_28_22_16_59_976.jpg,0,1,0,14.65166
C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\center_2019_11_28_22_17_00_049.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\left_2019_11_28_22_17_00_049.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\right_2019_11_28_22_17_00_049.jpg,0,1,0,15.49614
C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\center_2019_11_28_22_17_00_119.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\left_2019_11_28_22_17_00_119.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\right_2019_11_28_22_17_00_119.jpg,0,1,0,15.8774
C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\center_2019_11_28_22_17_00_193.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\left_2019_11_28_22_17_00_193.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\right_2019_11_28_22_17_00_193.jpg,0,1,0,16.73182
C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\center_2019_11_28_22_17_00_274.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\left_2019_11_28_22_17_00_274.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\right_2019_11_28_22_17_00_274.jpg,0,1,0,17.58405
C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\center_2019_11_28_22_17_00_340.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\left_2019_11_28_22_17_00_340.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\right_2019_11_28_22_17_00_340.jpg,0,1,0,18.39468
C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\center_2019_11_28_22_17_00_407.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\left_2019_11_28_22_17_00_407.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\right_2019_11_28_22_17_00_407.jpg,0,1,0,19.20251
C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\center_2019_11_28_22_17_00_474.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\left_2019_11_28_22_17_00_474.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\right_2019_11_28_22_17_00_474.jpg,0,1,0,19.68228
C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\center_2019_11_28_22_17_00_542.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\left_2019_11_28_22_17_00_542.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\right_2019_11_28_22_17_00_542.jpg,0,1,0,20.5074
C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\center_2019_11_28_22_17_00_609.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\left_2019_11_28_22_17_00_609.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\right_2019_11_28_22_17_00_609.jpg,0,1,0,21.19439
C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\center_2019_11_28_22_17_00_680.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\left_2019_11_28_22_17_00_680.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\right_2019_11_28_22_17_00_680.jpg,0,1,0,21.73105
C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\center_2019_11_28_22_17_00_748.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\left_2019_11_28_22_17_00_748.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\right_2019_11_28_22_17_00_748.jpg,0,1,0,22.53576
C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\center_2019_11_28_22_17_00_817.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\left_2019_11_28_22_17_00_817.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\right_2019_11_28_22_17_00_817.jpg,0,1,0,23.14926
C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\center_2019_11_28_22_17_00_889.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\left_2019_11_28_22_17_00_889.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\right_2019_11_28_22_17_00_889.jpg,0,1,0,23.92559
C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\center_2019_11_28_22_17_00_959.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\left_2019_11_28_22_17_00_959.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\right_2019_11_28_22_17_00_959.jpg,0,1,0,24.50293
C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\center_2019_11_28_22_17_01_031.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\left_2019_11_28_22_17_01_031.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\right_2019_11_28_22_17_01_031.jpg,0,1,0,25.2742
C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\center_2019_11_28_22_17_01_111.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\left_2019_11_28_22_17_01_111.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\right_2019_11_28_22_17_01_111.jpg,0,1,0,26.03839
C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\center_2019_11_28_22_17_01_179.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\left_2019_11_28_22_17_01_179.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\right_2019_11_28_22_17_01_179.jpg,0,1,0,26.60748
C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\center_2019_11_28_22_17_01_249.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\left_2019_11_28_22_17_01_249.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\right_2019_11_28_22_17_01_249.jpg,0,1,0,27.36073
C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\center_2019_11_28_22_17_01_318.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\left_2019_11_28_22_17_01_318.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\right_2019_11_28_22_17_01_318.jpg,0,1,0,27.92177
C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\center_2019_11_28_22_17_01_393.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\left_2019_11_28_22_17_01_393.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\right_2019_11_28_22_17_01_393.jpg,0,1,0,28.66456
C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\center_2019_11_28_22_17_01_466.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\left_2019_11_28_22_17_01_466.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\right_2019_11_28_22_17_01_466.jpg,0,1,0,29.40102
C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\center_2019_11_28_22_17_01_534.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\left_2019_11_28_22_17_01_534.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\right_2019_11_28_22_17_01_534.jpg,0,1,0,29.94996
C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\center_2019_11_28_22_17_01_612.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\left_2019_11_28_22_17_01_612.jpg,C:\Users\praga\OneDrive\Documents\GitHub\NanoDegreeSelfDrivingCar\CarND-Behavioral-Cloning\data\IMG\right_2019_11_28_22_17_01_612.jpg,0,1,0,30.19023
